|Sl No.|District|Block|Gram Panchayat|Village|Household|
94|SOUTH 24 PARAGANAS|Falta|MALLICKPUR|Ahamadpur (16)|405|
95|MALDAH|Habibpur|KANTURKA|Aharail (149)|211|
96|PURULIA|Arsha|SIRKABAD|Aharara (39)|840|
97|DAKSHIN DINAJPUR|Tapan|AUTINA|Ahera (215)|72|
98|MURSHIDABAD|Sagardighi|BARALA|Aheripara (98)|146|
99|JHARGRAM|Sankrail|KULTIKRI|Ahira (227)|110|
100|NORTH 24 PARAGANAS|Barasat - I|ICHHAPUR NILGANJ|Ahira (21)|201|
101|MURSHIDABAD|Suti - I|AHIRON|Ahiron (102)|0|
102|HOOGHLY|Balagarh|JIRHAT|Ahmadpur (88)|118|
103|HOOGHLY|Balagarh|SRIPUR BALAGARH|Ahmadpur (88)|118|
104|BIRBHUM|Sainthia|AHMADPUR|Ahmadpur (CT) (154)|2,076|
105|JALPAIGURI|Matiali|MATIALI BATABARI-I|Aibhil Tea Garden (5)|984|
106|DAKSHIN DINAJPUR|Tapan|GURAIL|Aichanda (189)|164|
107|HOOGHLY|Balagarh|GUPTIPARA-II|Aida Kismat (6)|360|
108|DAKSHIN DINAJPUR|Tapan|RAMPARA CHENCHRA|Aihara (9)|115|
109|UTTAR DINAJPUR|Itahar|JOYHAT|Aiho (237)|145|
110|MALDAH|Habibpur|AIHO|Aiho (CT) (0)|1,337|
111|MALDAH|Habibpur|AKTAIL|Aihodanga (33)|146|
112|BANKURA|Bankura - I|ANCHURI|Ailakundi (P) (217)|205|
113|MALDAH|Ratua - II|PUKHURIA|Ailpara (147)|305|
114|MALDAH|Kaliachak - II|RATHBARI|Ailpara (102)|174|
115|BANKURA|Bankura - II|NARRAH|Ailta (281)|197|
116|SOUTH 24 PARAGANAS|Budge Budge - II||Aima (50)|881|
117|HOOGHLY|Pandua|RAMESWARPUR GOPALNAGAR|Aima (79)|250|
118|SOUTH 24 PARAGANAS|Budge Budge - II|SATGACHHIA|Aima (50)|881|
119|HOOGHLY|Polba - Dadpur|DADPUR|Aima (36)|59|
120|HOOGHLY|Polba - Dadpur|GOSWAMIMALIPARA|Aima Samsara (112)|179|
121|BANKURA|Bankura - II|KOSTHIA|Ainagobindapur (305)|191|
122|NORTH 24 PARAGANAS|Bagda|HELENCHA|Ainshghata (17)|443|
123|COOCHBEHAR|Tufanganj - I|MARUGANJ|Airani Chitalia (40)|895|
124|NADIA|Ranaghat - II|ANISHMALI|Aismali (94)|1,623|
125|NADIA|Ranaghat - I|RAMNAGAR-I|Aistala (CT) (114)|1,910|
126|NADIA|Ranaghat - I|PAYRADANGA|Aistala (CT) (114)|1,910|
127|HOOGHLY|Singur|BARUIPARA PALTAGARH|Ajabnagar (82)|490|
128|MURSHIDABAD|Suti - I|BANSBATI|Ajagarpara (107)|929|
129|PURBA MEDINIPUR|Khejuri - II|JANKA|Ajan Bari (87)|527|
130|PURBA BARDHAMAN|Jamalpur|ABUJHATI-I|Ajapur (120)|727|
131|HOOGHLY|Arambag|MADHABPUR|Ajaypur (91)|261|
132|PURBA BARDHAMAN|Jamalpur|AJHAPUR|Ajhapur (20)|4,776|
133|DAKSHIN DINAJPUR|Balurghat|AMRIT KHANDA|Ajodhya (135)|300|
134|BANKURA|Vishnupur|AJODHYA|Ajodhya (10)|1,035|
135|PURULIA|Bagmundi|AJODHYA|Ajodhya (108)|557|
136|HOOGHLY|Jangipara|JANGIPARA|Ajodhya (68)|831|
137|HOWRAH|Shyampur - II|DEHI MANDALGHAT-I|Ajodhya (71)|1,401|
138|HOOGHLY|Haripal|OLIPUR KASHIPUR|Ajodhya Kasipur (2)|1,773|
139|SOUTH 24 PARAGANAS|Jaynagar - I||Ajodhya Nagar (15)|284|
140|SOUTH 24 PARAGANAS|Jaynagar - I|UTTAR DURGAPUR|Ajodhya Nagar (15)|284|
141|PASCHIM MEDINIPUR|Midnapore|BANPURA|Ajodhya Nagar (237)|740|
142|MURSHIDABAD|Berhampore|HARIDASMATI|Ajodhya Nagar (P) (89)|2,904|
143|SOUTH 24 PARAGANAS|Magrahat - I|SIRAKOLE|Ajodhyanagar (CT) (2)|1,333|
144|PURBA MEDINIPUR|Potashpur - I|GOKULPUR|Ajodhyapur (3)|159|
145|BIRBHUM|Suri - I|TILPARA|Ajoypur (12)|446|
146|PURBA MEDINIPUR|Mahisadal|LAKSHYA-II|Ajra (151)|442|
147|NORTH 24 PARAGANAS|Bongaon|AKAIPUR|Akaipur (82)|1,206|
148|PURBA BARDHAMAN|Memari - II|KUCHUT|Akalia (63)|265|
149|BIRBHUM|Nalhati - II|BHADRAPUR-I|Akalipur (92)|310|
150|MALDAH|Gazole|BAIRGACHHI-II|Akalpur (17)|1,758|
151|MALDAH|Gazole|GAZOLE-I|Akalpur (17)|1,758|
152|MALDAH|Gazole|GAZOLE-I|Akanda (105)|370|
153|MALDAH|Kaliachak - III|AKANDABARIA|Akanda Baria (187)|788|
154|NADIA|Kaliganj|GOBRA|Akanda Beria (80)|704|
155|NADIA|Nakashipara|MAJHER GRAM|Akandanga (14)|926|
156|PASCHIM BARDHAMAN|Kanksa|MALANDIGHI|Akandara (47)|502|
157|PURBA MEDINIPUR|Contai - I|HARIPUR|Akandi (115)|256|
158|NORTH 24 PARAGANAS|Basirhat - II|CHAMPA PUKUR|Akatpur (57)|494|
159|PURBA BARDHAMAN|Manteswar|KUSUMGRAM|Akbarnagar (73)|532|
160|PURBA MEDINIPUR|Egra - I|SAHARA|Akbarpur (74)|18|
